주소,count,lat,lng
서울특별시 광진구 구의동 546-4,58,37.54417,127.09262
서울특별시 강남구 신사동 668-23,58,37.5223206,127.0277019
서울특별시 강남구 역삼동 804-9,58,37.49988,127.03856
서울특별시 관악구 봉천동 1693-14,58,37.484665,126.9484961
서울특별시 은평구 응암동 691,58,37.59418,126.92555
서울특별시 강서구 등촌동 709-1,58,37.5498936,126.86025
서울특별시 서초구 서초동 1381,58,37.48818,127.01751
서울특별시 동작구 사당동 254-16,58,37.4856963,126.9723525
서울특별시 용산구 이촌동 302-31,58,37.52086,126.96612
서울특별시 중랑구 상봉동 315-51,57,37.60002,127.09283
서울특별시 서초구 서초동 1419,57,37.48818,127.01751
서울특별시 강남구 대치동 1012-22,57,37.49882,127.06566
서울특별시 송파구 가락동 67,57,37.49672,127.11744
서울특별시 구로구 구로동 222-15,57,37.4945849,126.8845477
서울특별시 송파구 문정동 90-2,57,37.48434,127.12246
서울특별시 동대문구 신설동 92-34,57,37.573478,127.0257068
서울특별시 동작구 대방동 503-2,57,37.5067997,126.9291349
서울특별시 중랑구 상봉동 160-4,56,37.60002,127.09283
서울특별시 성동구 성수동2가 845,56,37.54048,127.05601
서울특별시 동대문구 전농동 150-84,56,37.5806,127.05543
서울특별시 마포구 망원동 417-36,56,37.55586,126.90087
서울특별시 영등포구 대림동 698-1,56,37.4957573,126.899936
서울특별시 성동구 성수동2가 277-28,56,37.54048,127.05601
서울특별시 동대문구 장안동 480-16,56,37.57105,127.06806
서울특별시 동대문구 답십리동 530-3,56,37.57002,127.05467
서울특별시 동작구 상도동 424,56,37.4988159,126.9441045
서울특별시 영등포구 대림동 697,55,37.4957573,126.899936
서울특별시 송파구 문정동 639-9,55,37.48434,127.12246
서울특별시 영등포구 양평동5가 1-1,55,37.53906,126.8928
서울특별시 광진구 군자동 499,55,37.5532345,127.071936
서울특별시 양천구 목동 915,55,37.53608,126.87585
서울특별시 중구 만리동2가 273,55,37.5542229,126.9634144
서울특별시 마포구 합정동 406-5,54,37.54678,126.9084
서울특별시 중구 만리동2가 278,54,37.5551058,126.9638664
서울특별시 강남구 청담동 77-12,54,37.5257535,127.0523217
서울특별시 성동구 성수동2가 273-13,54,37.54048,127.05601
서울특별시 광진구 자양동 227-7,54,37.5329735,127.0727409
서울특별시 용산구 후암동 30-84,54,37.55011,126.98028
서울특별시 서초구 서초동 1748-46,54,37.48818,127.01751
서울특별시 성동구 성수동2가 309-50,54,37.54048,127.05601
서울특별시 강북구 번동 386-16,54,37.62929,127.03684
서울특별시 마포구 망원동 397-5,53,37.55586,126.90087
서울특별시 마포구 망원동 373-9,53,37.55586,126.90087
서울특별시 도봉구 창동 25,53,37.64643,127.04326
서울특별시 강남구 삼성동 148-16,53,37.5147838,127.0543618
서울특별시 광진구 구의동 546-3,53,37.54417,127.09262
서울특별시 강남구 대치동 1004,53,37.49882,127.06566
서울특별시 동대문구 답십리동 536,53,37.57002,127.05467
서울특별시 강남구 청담동 77-76,53,37.5257535,127.0523217
서울특별시 서초구 양재동 316-6,53,37.46838,127.0361
서울특별시 마포구 서교동 413,53,37.5550711,126.9238244
서울특별시 서초구 양재동 310-3,53,37.46838,127.0361
서울특별시 성동구 성수동1가 685-703,53,37.5435,127.03742
서울특별시 금천구 독산동 1081-4,53,37.468399,126.8979571
서울특별시 도봉구 창동 660-14,52,37.64643,127.04326
서울특별시 서초구 양재동 310-5,52,37.46838,127.0361
서울특별시 서초구 양재동 47,52,37.472515,127.045715
서울특별시 노원구 상계동 689-1,52,37.66727,127.07242
서울특별시 강서구 등촌동 709-24,52,37.5498936,126.86025
서울특별시 도봉구 창동 825-3,52,37.64643,127.04326
서울특별시 송파구 장지동 917-4,52,37.4798337,127.1310225
서울특별시 중랑구 면목동 495,52,37.58178,127.09034
서울특별시 양천구 목동 920-2,52,37.53608,126.87585
서울특별시 중랑구 상봉동 315-98,52,37.60002,127.09283
서울특별시 광진구 중곡동 273-1,51,37.56286,127.08921
서울특별시 강남구 청담동 100-33,51,37.5257535,127.0523217
서울특별시 용산구 효창동 255-3,51,37.54341,126.96037
서울특별시 광진구 자양동 204-1,51,37.5329735,127.0727409
서울특별시 강서구 가양동 1487,51,37.5663502,126.8525524
서울특별시 동대문구 이문동 346-131,51,37.5930683,127.0579709
서울특별시 강남구 논현동 238-5,51,37.5123018,127.0294935
서울특별시 강남구 신사동 651-23,51,37.5223206,127.0277019
서울특별시 강동구 성내동 449-22,51,37.52998,127.12875
서울특별시 강남구 삼성동 111-8,50,37.5147838,127.0543618
서울특별시 용산구 이태원동 243-60,50,37.53842,126.992
서울특별시 구로구 구로동 63,50,37.4945849,126.8845477
서울특별시 서초구 양재동 19-14,50,37.46838,127.0361
서울특별시 송파구 거여동 20-14,50,37.48921,127.14667
서울특별시 영등포구 신길동 1192,50,37.5052278,126.9217611
서울특별시 영등포구 여의도동 8,50,37.5278238,126.9168636
서울특별시 노원구 중계동 512-1,50,37.64802,127.07678
서울특별시 마포구 염리동 160-68,50,37.54914,126.94915
서울특별시 마포구 합정동 436-31,50,37.54678,126.9084
서울특별시 강남구 삼성동 162-13,50,37.5147838,127.0543618
서울특별시 광진구 군자동 47-1,50,37.5532345,127.071936
서울특별시 송파구 문정동 639-2,49,37.48434,127.12246
서울특별시 강남구 신사동 668-26,49,37.5223206,127.0277019
서울특별시 마포구 망원동 420-7,49,37.55586,126.90087
서울특별시 구로구 구로동 248-3,49,37.4945849,126.8845477
서울특별시 관악구 신림동 116-38,49,37.4868971,126.928177
서울특별시 서초구 서초동 1748-45,49,37.4801373,127.0217889
서울특별시 성동구 행당동 168-203,49,37.5616262,127.0390399
서울특별시 동작구 본동 485-2,49,37.51337,126.95477
서울특별시 서초구 서초동 1745-9,49,37.48818,127.01751
서울특별시 광진구 능동 220-6,49,37.55444,127.08156
서울특별시 성동구 성수동1가 656-3,49,37.5435,127.03742
서울특별시 송파구 문정동 640-12,49,37.48434,127.12246
서울특별시 강남구 청담동 118,49,37.5257535,127.0523217
서울특별시 용산구 효창동 3-151,49,37.54341,126.96037
서울특별시 영등포구 대림동 736-3,48,37.4957573,126.899936
서울특별시 관악구 봉천동 100-358,48,37.4814542,126.9613277
서울특별시 강남구 역삼동 804-10,48,37.49988,127.03856
서울특별시 송파구 잠실동 262,48,37.5122807,127.0855986
서울특별시 서초구 양재동 59-1,48,37.4682917,127.0438563
서울특별시 용산구 효창동 255-2,48,37.54341,126.96037
서울특별시 마포구 용강동 45-15,48,37.5415852,126.9426315
서울특별시 송파구 가락동 69,48,37.49672,127.11744
서울특별시 강남구 대치동 942-9,48,37.49882,127.06566
서울특별시 강남구 청담동 92-2,48,37.5257535,127.0523217
서울특별시 서초구 서초동 1417,48,37.48818,127.01751
서울특별시 강남구 대치동 1011-25,47,37.49882,127.06566
서울특별시 강서구 염창동 284-66,47,37.5553472,126.8725283
서울특별시 강남구 청담동 92-8,47,37.5257535,127.0523217
서울특별시 강남구 논현동 71,47,37.5072393,127.0286351
서울특별시 성동구 성수동2가 280-50,47,37.54048,127.05601
서울특별시 강남구 대치동 984-6,47,37.49882,127.06566
서울특별시 강동구 성내동 450-2,47,37.52998,127.12875
서울특별시 강남구 논현동 279-149,46,37.5123018,127.0294935
서울특별시 강서구 화곡동 1173,46,37.54208,126.84656
서울특별시 서초구 양재동 4-19,46,37.46838,127.0361
서울특별시 동작구 상도동 451,46,37.4988159,126.9441045
서울특별시 영등포구 대림동 698,46,37.4957573,126.899936
서울특별시 서초구 양재동 201-3,46,37.46838,127.0361
서울특별시 송파구 송파동 178-2,46,37.50479,127.11369
서울특별시 영등포구 여의도동 4,46,37.52186,126.9275079
서울특별시 성동구 행당동 168-151,46,,
서울특별시 성북구 삼선동2가 425-8,46,37.58438,127.0102
서울특별시 송파구 송파동 62,46,37.50479,127.11369
서울특별시 강동구 강일동 666-2,46,37.56723,127.1713
서울특별시 강남구 삼성동 1,46,37.5071958,127.0483701
서울특별시 양천구 목동 903-5,46,37.53608,126.87585
서울특별시 양천구 목동 914,46,37.53608,126.87585
서울특별시 서초구 양재동 55,46,37.4661858,127.0352611
서울특별시 강남구 신사동 668-22,46,37.5223206,127.0277019
서울특별시 성동구 성수동1가 685-700,46,,
서울특별시 동작구 신대방동 700-4,46,37.4955756,126.9195788
서울특별시 서초구 서초동 1376-6,46,37.48818,127.01751
서울특별시 송파구 문정동 205-2,45,37.48434,127.12246
서울특별시 도봉구 쌍문동 83-6,45,37.65347,127.02715
서울특별시 강남구 삼성동 16-1,45,37.5147838,127.0543618
서울특별시 서초구 서초동 1745-1,45,37.48818,127.01751
서울특별시 서대문구 연희동 88-16,45,37.57234,126.93084
서울특별시 강남구 수서동 719,45,37.48445,127.09838
서울특별시 강남구 대치동 952-2,45,37.49882,127.06566
서울특별시 송파구 방이동 94-1,45,37.5141564,127.1195472
서울특별시 중구 신당동 832,45,37.5651969,127.01322
서울특별시 서초구 서초동 1745-34,45,37.4801373,127.0217889
서울특별시 동작구 상도동 421,45,37.4988159,126.9441045
서울특별시 동대문구 용두동 47-1,44,37.57616,127.03476
서울특별시 마포구 합정동 424,44,37.54678,126.9084
서울특별시 강남구 삼성동 167,44,37.5147838,127.0543618
서울특별시 송파구 장지동 896,44,37.4798337,127.1310225
서울특별시 송파구 송파동 172,44,37.50479,127.11369
서울특별시 중랑구 면목동 1543,44,37.58178,127.09034
서울특별시 성동구 성수동1가 694-129,44,,
서울특별시 강서구 가양동 1461,44,37.5663502,126.8525524
서울특별시 마포구 망원동 465-6,44,37.55586,126.90087
서울특별시 송파구 거여동 657-10,44,37.48921,127.14667
서울특별시 강동구 성내동 450-28,44,37.52998,127.12875
서울특별시 강남구 논현동 61-4,44,37.5123018,127.0294935
서울특별시 서초구 서초동 1389,44,37.48818,127.01751
서울특별시 관악구 신림동 1641-2,44,37.4868971,126.928177
서울특별시 동대문구 장안동 470-1,44,37.57105,127.06806
서울특별시 강서구 내발산동 724-60,44,37.5539189,126.8377194
서울특별시 마포구 서교동 365-28,44,37.5550711,126.9238244
서울특별시 양천구 신월동 260,44,37.52782,126.83692
서울특별시 마포구 망원동 417-38,44,37.55586,126.90087
서울특별시 은평구 응암동 767-6,44,37.59418,126.92555
서울특별시 송파구 송파동 69,44,37.50479,127.11369
서울특별시 도봉구 쌍문동 83-5,44,37.65347,127.02715
서울특별시 구로구 구로동 222-3,44,37.4945849,126.8845477
서울특별시 강서구 화곡동 1159,44,37.54208,126.84656
서울특별시 광진구 구의동 546-6,44,37.54417,127.09262
서울특별시 강서구 가양동 1458-15,44,37.5663502,126.8525524
서울특별시 성동구 성수동2가 280-49,44,37.54048,127.05601
서울특별시 서초구 양재동 59,44,37.46838,127.0361
서울특별시 성동구 행당동 1-10,43,37.55783,127.03571
