,Age,Country,LanguageHaveWorkedWith,LearnCode
116,35-44 years old,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;Java;JavaScript;Python,"Books / Physical media;Friend or family member;School (i.e., University, College, etc)"
117,45-54 years old,United States of America,C#,Books / Physical media;On the job training
118,18-24 years old,Denmark,HTML/CSS;JavaScript;SQL,"School (i.e., University, College, etc);Online Courses or Certification"
119,35-44 years old,Finland,Bash/Shell;C;C#;JavaScript;Perl;PowerShell;Python;R;Ruby;SQL,"School (i.e., University, College, etc)"
120,25-34 years old,Canada,HTML/CSS;Java;Kotlin;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
121,25-34 years old,Sweden,Go;Java;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
122,18-24 years old,Romania,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp"
123,25-34 years old,Italy,Crystal;Java;Kotlin;SQL;VBA,"School (i.e., University, College, etc);On the job training;Online Courses or Certification"
124,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Go;JavaScript;Python;Rust;SQL;TypeScript,"Friend or family member;School (i.e., University, College, etc);On the job training"
125,18-24 years old,Israel,Assembly;C;C#;C++;Groovy;Python,"Friend or family member;School (i.e., University, College, etc);On the job training"
126,25-34 years old,Canada,JavaScript;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague"
127,25-34 years old,Brazil,HTML/CSS;JavaScript;PHP;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
128,18-24 years old,United Kingdom of Great Britain and Northern Ireland,C#;Python,"Other online resources (e.g., videos, blogs, forum)"
129,18-24 years old,Portugal,Bash/Shell;C;C++;Python;Rust,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
130,35-44 years old,Italy,HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,Books / Physical media;On the job training;Online Courses or Certification;Colleague
131,45-54 years old,United States of America,Bash/Shell;Go;JavaScript;Python;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
132,25-34 years old,United States of America,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
133,45-54 years old,United States of America,C#;JavaScript;Perl;Python;Ruby;SQL,"Books / Physical media;Friend or family member;School (i.e., University, College, etc)"
